"id";"Grischun_Display";"Grischun_Search";"Sursilvan_Display";"Sursilvan_Search";"Sutsilvan_Display";"Sutsilvan_Search";"Surmiran_Display";"Surmiran_Search";"Puter_Display";"Puter_Search";"Vallader_Display";"Vallader_Search";"German_Display";"German_Search";"French_Display";"French_Search";"Italian_Display";"Italian_Search";"English_Display";"English_Search";"Conjugation";"Lexical_Class_D";"Lexical_Class_R";"Source_Table_Name";"Source_Table_Row_ID"
11;"da, dad (d')";"da, dad";"da, dad (d')";"da, dad";"da, dad (d')";"da, dad";"da, dad (d')";"da, dad";"da, dad (d')";"da, dad";"da, dad (d')";"da, dad";"von, aus";"von, aus";"de, d'";"de, d'";"";"";"of, from";"of, from";"";"Präposition";"preposiziun";"meinpledari";10
12;"da
";"da
";"da
";"da";"da
";"da";"da
";"da";"da
";"da";"da
";"da";"aus, von";"aus, von";"de, d'";"de, d'";"";"";"from";"from";"";"Präposition";"preposiziun";"meinpledari";11
13;"da (dad)";"dad";"da (dad)";"da, dad";"da (dad)";"da, dad";"da (dad)";"da, dad";"da (dad)";"da, dad";"da (dad)";"da, dad";"über";"über";"de, d'";"de, d'";"";"";"about";"about";"";"Präposition";"preposiziun";"meinpledari";12
14;"il (l')";"il, l'";"il, igl";"il, igl";"igl (gl')";"igl, gl'";"igl";"igl";"il (l')";"il, l'";"il (l')";"il, l'";"(der, die, das)";"der, die, das";"le, l'";"le, l'";"il, lo (l')";"il, lo, l'";"the";"the";"";"Artikel";"artitgel";"meinpledari";13
15;"ils";"ils";"ils";"ils";"igls";"igls";"igls";"igls";"ils";"ils";"ils";"ils";"die";"die";"les";"les";"i, gli";"i, gli, gl'";"the";"the";"";"Artikel";"artitgel";"meinpledari";14
16;"la (l')";"la, l'";"la (l')";"la, l'";"la (l')";"la, l'";"la (l')";"la, l'";"la (l')";"la, l'";"la (l')";"la, l'";"(der, die, das)";"der, die, das";"la, l'";"la, l'";"la (l')";"la, l'";"the";"the";"";"Artikel";"artitgel";"meinpledari";15
17;"las";"las";"las";"las";"las";"las";"las";"las";"las";"las";"las";"las";"die";"die";"les";"les";"le";"le";"the";"the";"";"Artikel";"artitgel";"meinpledari";16
18;"in, ina (1)";"in, ina, 1";"in, ina (1)";"in, ina, 1";"egn,egna, egn'";"egn,egna, egn', 1";"egn, egna";"egn, egna, 1";"ün, üna";"üna, 1";"ün, üna";"ün, üna, 1";"ein, eine, eins, einer";"ein, eine, eins, einer";"un, une";"un, une";"uno, un, una, un' (1)";"uno, un, un', una, 1";"one (1)";"one, 1";"";"Artikel/Zahl";"numeral";"meinpledari";17
19;"ins";"ins";"ins";"ins";"ign";"ign";"ins";"ins";"";"";"";"";"man";"man";"on";"on";"si";"si, s'";"one";"one";"";"Pronomen";"pronom";"meinpledari";18
20;"jau";"jau";"jeu";"jeu";"jou";"jou";"ia";"ia";"eau";"eau";"eu";"eu";"ich";"ich";"je, moi";"je, moi";"io";"io";"I";"i";"";"Pronomen";"pronom";"meinpledari";19
21;"ma";"ma";"";"";"mi";"mi";"am";"am";"am (m')";"am, m'";"am (m')";"am, m'";"mich, mir";"mich, mir";"me, moi";"me, moi";"me";"me";"(to) me";"me";"";"Pronomen";"pronom";"meinpledari";20
22;"(a) mai";"a mai";"a mi";"a mi";"me(a), mei";"mea, mei";"(a) me";"a me";"(a) me";"a me";"(a) mai";"a mai";"mich, mir";"mich, mir";"(à) moi";"à moi";"a me";"a me";"(to) me";"me";"";"Pronomen";"pronom";"meinpledari";21
23;"mes (f: mia), da mai";"mes, mia, da mai";"miu, mia, da mei";"miu, mia, da mei";"mieus (mpl: meas, f: mia, fpl: mias)";"mieus, meas, mia, mias";"(igl) mies, (la) mia";"igl mies, la mia";"mieu, mia";"mieu, mia";"meis, mia (ma)";"meis, ma, mia";"mein";"mein";"mon
(f: ma)";"mon, ma";"mio (mpl: miei, f: mia, fpl: mie)";"mio, mia, miei, mie";"my";"my";"";"Possessivadjektiv";"adjectiv possessiv";"meinpledari";22
24;"il mes, la mia, ils mes, las mias, mes, mias";"il mes, la mia, ils mes, las mias, mes, mias";"il mes, la mia, ils mes, las mias, mes, mias";"il miu, la mia, ils mes, las mias, mes, mias";"igl mieus (mpl: igls meas, f: la mia, fpl: las mias)";"igl mieus, igls meas, la mia, las mias";"igl mies (f: la mia, mpl: igls mies, fpl: las mias)";"igl mies, la mia, igls mies, las mias";"il mieu, la mia";"il mieu, la mia";"meis, mia";"meis, mia";"mein";"mein";"le mien, la mienne, les miens, les miennes, mien, mienne";"le mien, la mienne, les miens, les miennes, mien, mienne";"il mio, la mia, i miei, le mie";"il mio, la mia, i miei, le mie";"mine, my one(s)";"mine, my ones";"";"Possessivpronomen";"pronom possessiv";"meinpledari";23
25;"jau mez
(f: jau mezza)";"jau mez, mezza";"jeu mez (f: jeu mezza)";"jeu mez, jeu mezza";"jou mez (f: jou meza)";"jou mez, jou meza";"ia mez (f: ia mezza)";"ia mez, ia mezza";"eau stess (eau svess)";"eau stess, eau svess";"eu svessa";"eu svessa";"ich selbst";"ich selbst";"moi-même";"moi-même";"me stesso (f: me stessa)";"me stesso, me stessa";"myself (m)";"myself";"";"Pronomen";"pronom";"meinpledari";24
26;"nus";"nus";"nus";"nus";"nus";"nus";"nous, nusoters (f: nusotras)";"nous, nusoters, nusotras";"nus";"nus";"nus, no";"nus, no";"wir";"wir";"nous";"nous";"noi";"noi";"we";"we";"";"Pronomen";"pronom";"meinpledari";25
27;"ans";"ans";"";"";"";"";"ans";"ans";"ans";"ans";"ans";"ans";"uns";"uns";"nous, à nous";"nous, à nous";"ci";"ci";"us";"us";"";"Pronomen";"pronom";"meinpledari";26
28;"nus";"nus";"nus";"nus";"nus";"nus";"nous";"nous";"a nus";"a nus";"a nus";"a nus";"uns";"uns";"nous";"nous";"noi";"noi";"us";"us";"";"Pronomen";"pronom";"meinpledari";27
29;"noss
(f: nossa)";"noss, nossa, da nus";"nies (mpl: nos, f: nossa)";"nies, nos, nossa";"noss (f: nossa)";"noss, nossa";"(igl) noss, (igls) noss, (la) nossa, (las) nossas";"igl noss, igls noss, la nossa, las nossas";"nos (mpl. noss, f: nossa(s))";"nos, noss, nossa, nossas, da nus";"nos (mpl: ils noss, f: nossa, fpl: nossas)";"nos, noss, nossa, nossas, da nus";"unser";"unser";"notre";"notre";"nostro (mpl: nostri, f: nostra, fpl: nostre";"nostro, nostri, nostra, nostre";"our";"our";"";"Possessivadjektiv";"adjectiv possessiv";"meinpledari";28
30;"il noss (mpl: ils noss, f: la nossa, fpl: las nossas)";"il noss, la nossa, ils noss, las nossas";"il noss (mpl: ils noss, f: la nossa, fpl: las nossas)";"il nies, la nossa, ils nos, las nossas";"igl noss (mpl: igls noss, f: la nossa, fpl: las nossas)";"igl noss, igls noss, la nossa, las nossas";"igl noss (mpl: igls noss, f: la nossa, fpl: las nossas)";"igl noss, igls noss, la nossa, las nossas";"il nos (mpl: ils noss, f: la nossa, fpl: las nossas)";"il nos, la nossa, ils noss, las nossas";"nos (mpl: ils noss, f: nossa, fpl: nossas)";"nos, nossa, noss, nossas";"unserige";"unserige";"le nôtre (mpl: les nôtres, f: la nôtre, fpl: les nôtres)";"le nôtre, la nôtre, les nôtres";"il nostro (mpl: i nostri, f: le nostre, fpl: le nostre)";"il nostro, i nostri, la nostra, le nostre";"ours, our one(s)";"ours, our one, our ones";"";"Possessivpronomen";"pronom possessiv";"meinpledari";29
31;"nus sezs, nus sezzas";"nus sezs, nus sezzas";"nusezs (nus sezs), nusezzas (nus sezzas), nusezzi, nusezzas";"nusezs, nus sezs, nusezzas, nus sezzas, nusezzi, nusezzas";"nusezs";"nusezs";"nusezs (fpl: nusezzas)";"nusezs, nusezzas";"nus stess (nus svess)";"nus stess, nus svess";"nus svessa";"nus svessa";"wir selbst";"wir selbst";"nous-mêmes";"nous-même";"noi stessi (f: noi stesse)";"noi stessi, noi stesse";"ourselves";"ourselves";"";"Pronomen";"pronom";"meinpledari";30
32;"el";"el";"el";"el";"el";"el";"el";"el";"el";"el";"el";"el";"er";"er";"le";"le";"egli, lui (l') (imp: esso)";"egli, lui, esso, l'";"he, it";"he, it";"";"Pronomen";"pronom";"meinpledari";31
33;"(ad) el";"el";"(ad) el";"el";"(ad) el";"ad el";"ad el";"ad el";"ad el";"ad el";"ad el";"ad el";"ihm";"ihm";"lui";"lui";"a lui, ad egli (imp: ed esso)";"a lui, ad esso, ad egli";"(to) him, (to) it";"him, it";"";"Pronomen";"pronom";"meinpledari";32
34;"al";"al";"";"";"igl, al";"gli";"igl";"igl";"al";"al";"til";"til";"ihn";"ihn";"le, lui";"le, lui";"gli";"gli";"(to) him, (to) it";"him, it";"";"Pronomen";"pronom";"meinpledari";33
35;"ella";"ella";"ella";"ella";"ella";"ella";"ella";"ella";"ella";"ella";"ella";"ella";"sie";"sie";"la";"la";"ella, lei (l') (imp: essa)";"ella, lei, l', essa";"she, it";"she";"";"Pronomen";"pronom";"meinpledari";34
36;"(ad) ella";"ella";"(ad) ella";"ella";"(ad) ella";"ella";"(ad) ella";"ella";"ad ella";"ad ella";"ad ella";"ad ella";"ihr, sie";"ihr, sie";"lui";"lui";"ad ella, a lei (imp: ad essa)";"a lei, ad ella, ad essa";"(to) her, (to) it";"to her";"";"Pronomen";"pronom";"meinpledari";35
37;"la (l')";"la";"";"";"igl, agli";"igl, agli";"la";"la";"la";"la";"tilla";"tilla";"ihr, sie";"ihr, sie";"la, lui";"la, lui";"le";"le";"(to) her, (to) it";"to her";"";"Pronomen";"pronom";"meinpledari";36
38;"i, igl";"igl";"igl, ei";"igl, ei";"igl";"igl";"i (igl)";"igl";"a, ad";"a, ad";"i, id";"id";"es";"es";"il (y a), c('est)";"il, ce, c'";"[* Guardar las Remartgas. *
* Vedi Commenti. *]";"";"it";"it";"";"Pronomen";"pronom";"meinpledari";37
39;"ses, sia";"ses, sias, dad ella";"siu (mpl: ses, f: sia)";"siu, ses, sias, dad ella";"sieus (mpl: seas, f: sia)";"sieus, seas, sia";"(igl) sies, (igls) sies (la) sia, (las) sias";"igl sies, igls sies la sia, las sias";"sieu, sia";"sieu, sia";"seis, sia";"seis, sia";"sein, ihr";"sein, ihr";"son
(f: sa)";"son, sa";"suo, sua";"suo, sua, di lui, di lei";"her, his, its";"her, his, its";"";"Possessivadjektiv";"adjectiv possessiv";"meinpledari";38
40;"il sieu ils ses, la sia, las sias";"il sieu ils ses, la sia, las sias";"il sieu ils ses, la sia, las sias";"siu, sia, ses, sias";"igl sieus (mpl: igls seas, f: la sia, fpl: las sias)";"igl sieus, igls seas, la sia, las sias";"igl sies, igls sies la sia, las sias";"igl sies, igls sies la sia, las sias";"il sieu, ils sieus, la sia, las sias";"il sieu, ils sieus, la sia, las sias";"seis, seis, sia, sias";"seis, seis, sia, sias";"seinige, ihrige";"seinige, ihrige";"le sien
(f: la sienne, mpl: les siens, fpl: les siennes)";"le sien, la sienne, les siens, les siennes";"il suo, i suoi, la sua, le sue";"il suo, i suoi, la sua, le sue";"his (one), hers, her (one), its (own)";"his, hers, her one, its one";"";"Possessivpronomen";"pronom possessiv";"meinpledari";39
41;"el sez";"el sez";"el sez";"el sez";"el sez, sasez";"el sez, sasez";"el sez";"el sez";"el stess (el svess)";"el stess, el svess";"el svessa";"el svessa";"er selbst";"er selbst";"lui-même";"lui-même";"egli stesso, lui stesso, se stesso";"egli stesso, lui stesso, se stesso";"himself, itself, oneself";"himself";"";"Pronomen";"pronom";"meinpledari";40
42;"els";"els";"els";"els";"els";"els";"els";"els";"els";"els";"els";"els";"sie";"sie";"ils";"ils";"essi, loro";"essi, loro";"they (m)";"they";"";"Pronomen (fpl.)";"pronom";"meinpledari";41
43;"ella sezza";"ella sezza";"ella sezza";"ella sezza";"ella seza";"ella seza";"ella sezza";"ella sezza";"ella stess (ella svess)";"ella stess, ella svess";"ella svessa";"ella svessa";"sie selbst";"sie selbst";"elle-même";"elle-même";"ella stessa, se stessa, lei stessa";"ella stessa, se stessa, lei stessa";"herself, itself";"herself, itself";"";"Pronomen";"pronom";"meinpledari";42
44;"ellas";"ellas";"ellas";"ellas";"ellas";"ellas";"ellas";"ellas";"ellas";"ellas";"ellas";"ellas";"sie";"sie";"elles";"elles";"esse, loro";"esse, loro";"they (f)";"they";"";"Pronomen (fpl.)";"pronom";"meinpledari";43
45;"als";"als";"";"";"igls";"igls";"igls";"igls";"als";"als";"als";"als";"sie, ihnen";"sie, ihnen";"les";"les";"gli, loro";"gli, loro";"(to) them (m)";"them";"";"Pronomen";"pronom";"meinpledari";44
46;"(ad) els";"ad els";"(ad) els";"ad els";"(ad) els";"ad els";"(ad) els";"ad els";"(ad) els";"ad els";"(ad) els";"ad els";"sie, ihnen";"sie, ihnen";"leur";"leur";"ad essi, a loro";"ad essi, a loro";"(to) them (m)";"them";"";"Pronomen";"pronom";"meinpledari";45
47;"(ad) ellas";"ad ellas";"(ad) ellas";"ad ellas";"(ad) ellas";"ad ellas";"(ad) ellas";"ad ellas";"(ad) ellas";"ad ellas";"(ad) ellas";"ad ellas";"sie, ihnen";"sie, ihnen";"leur";"leur";"ad esse, a loro";"ad esse, a loro";"(to) them (f)";"them";"";"Pronomen";"pronom";"meinpledari";46
48;"las";"las";"";"";"";"";"las";"las";"las";"las";"tillas";"tillas";"sie, ihnen";"sie, ihnen";"les";"les";"gli, loro";"gli, loro";"(to) them (f)";"them";"";"Pronomen";"pronom";"meinpledari";47
49;"lur";"lur";"lur";"lur";"lur";"lur";"lour";"lour";"lur";"lur";"lur";"lur";"ihr, ihre, ?";"ihr, ihre, ?";"leur (pl: leurs)";"leur, leurs";"loro";"loro";"their";"their";"";"Possessivadjektiv";"adjectiv possessiv";"meinpledari";48
50;"il lur, la lur, ils lur, las lur";"il lur, la lur, ils lur, las lur";"il lur, la lur, ils lur, las lur";"il lur, la lur, ils lur, las lur";"igl lur, la lur, igls lur, las lur";"igl lur, la lur, igls lur, las lur";"igl lour, la lour, igls lour, las lour";"igl lour, la lour, igls lour, las lour";"il lur, la lur, ils lur, las lur";"il lur, la lur, ils lur, las lur";"lur";"lur";"ihrige";"ihrige";"le leur
(f: la leur, pl: les leurs)";"le leur, la leur, les leurs";"il loro, la loro, i loro, le loro";"il loro, la loro, i loro, le loro";"theirs, their (one(s))";"theirs";"";"Possessivpronomen";"pronom possessiv";"meinpledari";49
51;"els sezs";"els sezs";"els sezs";"els seszs";"els sezs";"els sezs";"els sezs";"els sezs";"els stess, els svess";"els stess, els svess";"els svessa";"els svessa";"sie selbst";"sie selbst";"eux-mêmes";"eux-mêmes";"se stessi, loro stessi, essi stessi";"se stessi, loro stessi, essi stessi";"themselves (m)";"themselves";"";"Pronomen";"pronom";"meinpledari";50
52;"ellas sezzas";"ellas sezzas";"ellas sezzas";"ellas sezzas";"ellas sezas";"ellas sezas";"ellas sezzas";"ellas sezzas";"ellas stess, ellas svess";"ellas stess, ellas svess";"ellas svessa";"ellas svessa";"sie selbst";"sie selbst";"elles-mêmes";"elles-mêmes";"se stesse, loro stesse, esse stesse";"se stesse, loro stesse, esse stesse";"themselves (f)";"themselves";"";"Pronomen";"pronom";"meinpledari";51
53;"ti tez, ti tezza";"ti tez, ti tezza";"ti tez, ti tezza";"ti tez, ti tezza";"tei tez, tatez";"tei tez, tatez";"te tez (f: te tezza)";"te tez, te tezza";"tü stess (tü svess)";"tü stess, tü svess";"tü svessa";"tü svessa";"du selbst";"du selbst";"toi-même";"toi-même";"te stesso (f: te stessa)";"te stesso, te stessa";"yourself";"yourself";"";"Pronomen";"pronom";"meinpledari";52
54;"vus sezs, vus sezzas";"vus sezs, vus sezzas";"vusezs (vus sezs), vus sezzas (vusezzas), vusezzi, vusezzas";"vusezs, vus sezs, vus sezzas, vusezzas, vusezzi, vusezzas";"vusezs";"vusezs";"vusezs, vusezzas";"vusezs, vusezzas";"vus stess (vus svess)";"vus stess, vus svess";"vus svessa";"vus svessa";"ihr selbst";"ihr selbst";"vous-même";"vous-même";"voi stessi (f: voi stesse)";"voi stessi, voi stesse";"yourself";"yourself";"";"Pronomen";"pronom";"meinpledari";53
55;"ma, però";"ma, però, aber";"mo,denton";"mo, denton, aber";"mo";"mo, aber";"ma";"ma, aber";"ma, però";"ma, però, aber";"ma, però";"ma, però, aber";"aber, jedoch";"aber, jedoch";"mais";"mais";"ma, però";"ma, però";"but";"but";"";"Konjunktion";"conjuncziun";"meinpledari";54
56;"ma, mabain";"mabain";"mo, mobein";"mo, mobein";"mo, mobagn";"mobagn";"ma, mabagn";"mabagn";"dempersè";"dempersè";"dimpersè [na be ... dimpersè]";"dimpersai";"sondern";"sondern";"mais au contraire";"mais au contraire";"vabbé";"vabbé, pazienza";"but, but also";"but also";"";"Konjunktion";"conjuncziun";"meinpledari";55
57;"bun";"buna";"bien (mpl: buns, f: buna)";"bien, buns, buna";"bùn, bien, buna";"bùn, bien, buna";"bun, bung";"bung";"bun";"bun";"bun";"bun";"gut";"gut";"bon
(f: bonne)";"bon, bonne";"buono";"buono, buona, buoni, buone";"good";"good";"";"Adjektiv";"adjectiv";"meinpledari";56
58;"nov";"nov";"niev
(f: nova, mpl: novs)";"niev, nova";"nov";"nov";"nov";"nov";"nouv";"nouv";"nouv";"nouv";"neu";"neu";"nouveau, nouvelle";"nouveau, nouvelle";"nuovo";"nuovo, nuove, nuovi, nuove";"new";"new";"";"Adjektiv";"adjectiv";"meinpledari";57
59;"onn";"onn";"onn";"onn";"on";"on";"onn";"onn";"an";"an";"on";"on";"Jahr";"jahr";"an / année";"an, année";"anno";"anno, anni";"year";"year";"";"Nomen (n)";"num masculin";"meinpledari";58
60;"nulla";"nulla, 0";"nulla, nul";"nulla, nul, 0";"nola, nula";"nola, nula, 0";"nolla";"nolla, nol, 0";"nolla";"nolla, 0";"nolla";"nolla, 0";"Null";"null";"zéro";"zéro";"zero";"zero, 0";"nought, zero, nil (0)";"zero, nought, nil, 0";"";"Kardinalzahl";"numeral";"meinpledari";59
61;"emprim";"emprim, emprima";"emprem";"emprem, emprema";"amprem";"amprem";"amprem";"amprem";"prüm";"prüm";"prüm";"prüm";"erster, erste";"erster, erste";"premier
(f: première)";"premier, première";"primo (f: prima)";"primo, prima";"first (1st)";"first, 1st, 1th";"";"Ordnungszahl";"adjectiv";"meinpledari";60
62;"dus, duas (2)";"dus, duas, 2";"dus, duas (2)";"dus, duas, 2";"dus, duas";"dus, duas, 2";"dus";"dus, 2";"duos";"duos, 2";"duos";"duos, 2";"zwei";"zwei";"deux";"deux";"due (2)";"due, 2";"two (2)";"two, 2";"";"Kardinalzahl";"numeral";"meinpledari";61
63;"segund";"segund";"secund";"secund";"savund, (sagund)";"savund, sagund";"sagond";"sagond";"seguond";"seguond";"seguond";"seguond";"zweit";"zweit";"deuxième";"deuxième";"secondo (f: seconda)";"secondo, seconda";"second (2nd)";"second, 2nd, 2th";"";"Ordnungszahl";"adjectiv";"meinpledari";62
64;"secunda";"secunda";"secunda";"secunda";"secunda";"secunda";"secunda";"secunda";"secunda";"secunda";"secunda";"secunda";"Sekunde";"sekunde";"seconde";"seconde";"secondo";"secondo";"second";"second";"";"Nomen (f)";"num feminin";"meinpledari";63
65;"trais (3)";"trais, 3";"treis";"treis, 3";"tres";"tres, 3";"treis";"treis, 3";"trais";"trais, 3";"trais";"trais, 3";"drei";"drei";"trois";"trois";"tre (3)";"tre, 3";"three (3)";"three, 3";"";"Kardinalzahl";"numeral";"meinpledari";64
66;"terz";"terz";"tierz, tiarza";"tierz, tiarza";"tearz";"tearz";"terz";"terz";"terz";"terz";"terz";"terz";"dritte(r, s)";"dritte, dritter";"troisième";"troisième";"terzo (f: terza)";"terzo, terza";"third (3rd)";"third, 3rd, 3th";"";"Ordnungszahl";"dumber ordinal";"meinpledari";65
67;"quatter (4)";"quatter, 4";"quater";"quater, 4";"quater";"quater, 4";"quatter";"quatter, 4";"quatter";"quatter, 4";"quatter";"quatter, 4";"vier";"vier";"quatre";"quatre";"quattro (4)";"quattro, 4";"four (4)";"four, 4";"";"Kardinalzahl";"numeral";"meinpledari";66
68;"quart";"quart";"quart";"quart";"quart";"quart";"quart";"quart";"quart";"quart";"quart";"quart";"vierte(r,s)";"vierter, viertes";"quatrième";"quatrième";"quarto (f: quarta)";"quarto, quarta";"fourth";"fourth, 4th";"";"Ordnungszahl";"dumber ordinal";"meinpledari";67
69;"tschintg (5)";"tschintg, 5";"tschun";"tschun, 5";"tschentg";"tschentg, 5";"tschintg";"tschintg, 5";"tschinch";"tschinch, 5";"tschinch";"tschinch, 5";"fünf";"fünf";"cinq";"cinq";"cinque (5)";"cinque, 5";"five (5)";"five, 5";"";"Kardinalzahl";"numeral";"meinpledari";68
70;"tschintgavel
(f: tschintgavla)";"tschintgavel, tschintgavla";"tschunavel
(f: tschunavla)";"tschunavel, tschunavla";"tschentgavel (f: tschentgavla)";"tschentgavel, tschentgavla";"tschintgavel (f: tschintgavla)";"tschintgavel, tschintgavla";"tschinchevel (f: tschinchevla)";"tschinchevel, tschinchevla";"tschinchavel (f: tschinchavla)";"tschinchavel, tschinchavla";"fünfte(r,s)";"fünft";"cinquième";"cinquième";"quinto (f: quinta)";"quinto, quinta";"fifth (5th)";"fifth, 5th";"";"Ordnungszahl";"dumber ordinal";"meinpledari";69
71;"sis (6)";"sis, 6";"sis";"sis, 6";"sis";"sis, 6";"seis";"seis, 6";"ses";"ses, 6";"ses";"ses, 6";"sechs";"sechs";"six";"six";"sei (6)";"sei, 6";"six (6)";"six, 6";"";"Kardinalzahl";"numeral";"meinpledari";70
72;"sisavel
(f: sisavla) (6avel, 6avla)";"sisavel, sisavla, 6avel, 6avla";"sisavel
(f: sisavla) (6avel, 6avla)";"sisavel, sisavla, 6avel, 6avla";"sisavel (f: sisavla)";"sisavel, sisavla";"seisavel (f: seisavla)";"seisavel, seisavla";"sesevel (f: sesevla)";"sesevel, sesevla, 6evel, 6evla";"sesavel (f: sesavla)";"sesavel, sesavla, 6avel, 6avla";"sechste(r)";"sechste, sechster, sechstes";"sixième";"sixième";"sesto (f: sesta)";"sesto, sesta";"sixth (6th)";"sixth, 6th";"";"Ordnungszahl";"dumber ordinal";"meinpledari";71
73;"set (7)";"set, 7";"siat";"siat, 7";"seat";"seat, 7";"set";"set, 7";"set";"set, 7";"set";"set, 7";"sieben";"sieben";"sept";"sept";"sette (7)";"sette, 7";"seven (7)";"seven, 7";"";"Kardinalzahl";"numeral";"meinpledari";72
74;"settavel, 7avel (m)
settavla, 7alva (f)";"settavel, settavla, 7avel, 7avla";"siatavel (m)
siatavla (f)";"siatavel, siatavla, 7avel, 7avla";"seatavel (m)
seatavla (f)";"seatavel, seatavla";"settavel (m)
settavla (f)";"settavel, settavla";"settevel (m)
settevla (f)";"settevel, settevla, 7evel, 7evla";"settavel (m)
settavla (f)";"settavel, settavla, 7avel, 7avla";"siebte(r,s)";"siebte, siebter, siebtes";"septième";"septième";"settimo (f: settima)";"settimo, settima";"seventh (7th)";"seventh, 7th";"";"Ordnungszahl";"dumber ordinal";"meinpledari";73
75;"otg (8)";"otg, 8";"otg";"otg, 8";"otg";"otg, 8";"otg";"otg, 8";"och";"och, 8";"ot";"ot, 8";"acht";"acht";"huit";"huit";"otto (8)";"otto, 8";"eight (8)";"eight, 8";"";"Kardinalzahl";"numeral";"meinpledari";74
76;"otgavel
(f: otgavla) (8avel, 8avla)";"otgavel, otgavla, 8avel, 8avla";"otgavel
(f: otgavla) (8avel, 8avla)";"otgavel, otgavla, 8avel, 8avla";"otgavel (8avel) f: otgavla (8avla)";"otgavel, 8avel, otgavla, 8avla";"otgavel (f: otgavla) (8avel, 8avla)";"otgavel, otgavla, 8avel, 8avla";"ochavel (f: ochavla) (8evel, 8evla)";"ochavel, ochavla, 8evel, 8evla";"ottavel (f: ottavla) (8avel, 8avla)";"ottavel, ottavla, 8avel, 8avla";"achte(r,s)";"achter, achtes";"huitième";"huitième";"ottavo (f: ottava)";"ottavo, ottava";"eighth (8th)";"eighth, 8th";"";"Ordnungszahl";"dumber ordinal";"meinpledari";75
77;"nov (9)";"nov, 9";"nov";"nov, 9";"nov";"nov, 9";"nov";"nov, 9";"nouv";"nouv, 9";"nouv";"nouv, 9";"neun";"neun";"neuf";"neuf";"nove (9)";"nove, 9";"nine (9)";"nine, 9";"";"Kardinalzahl";"numeral";"meinpledari";76
